date,4b. close (USD)
2022-01-01,47722.65
2021-12-31,46216.93
2021-12-30,47120.87
2021-12-29,46464.66
2021-12-28,47543.74
2021-12-27,50701.44
2021-12-26,50775.49
2021-12-25,50399.66
2021-12-24,50820.0
2021-12-23,50838.81
2021-12-22,48588.16
2021-12-21,48889.88
2021-12-20,46914.16
2021-12-19,46681.23
2021-12-18,46834.48
2021-12-17,46131.2
2021-12-16,47632.38
2021-12-15,48864.98
2021-12-14,48343.28
2021-12-13,46702.75
2021-12-12,50053.9
2021-12-11,49389.99
2021-12-10,47140.54
2021-12-09,47545.59
2021-12-08,50471.19
2021-12-07,50588.95
2021-12-06,50441.92
2021-12-05,49396.33
2021-12-04,49152.47
2021-12-03,53601.05
2021-12-02,56480.34
2021-12-01,57184.07
2021-11-30,56950.56
2021-11-29,57776.25
2021-11-28,57274.88
2021-11-27,54721.03
2021-11-26,53726.53
2021-11-25,58960.36
2021-11-24,57138.29
2021-11-23,57541.27
2021-11-22,56247.18
2021-11-21,58622.02
2021-11-20,59707.51
2021-11-19,58052.24
2021-11-18,56891.62
2021-11-17,60344.87
2021-11-16,60058.87
2021-11-15,63606.74
2021-11-14,65519.1
2021-11-13,64380.0
2021-11-12,64122.23
2021-11-11,64774.26
2021-11-10,64882.43
2021-11-09,66947.66
2021-11-08,67525.83
2021-11-07,63273.59
2021-11-06,61470.61
2021-11-05,60937.12
2021-11-04,61395.01
2021-11-03,62896.48
2021-11-02,63219.99
2021-11-01,60911.11
2021-10-31,61299.8
2021-10-30,61859.19
2021-10-29,62253.71
2021-10-28,60575.89
2021-10-27,58413.44
2021-10-26,60328.81
2021-10-25,63078.78
2021-10-24,60852.22
2021-10-23,61286.75
2021-10-22,60688.22
2021-10-21,62193.15
2021-10-20,66001.41
2021-10-19,64280.59
2021-10-18,62009.84
2021-10-17,61528.33
2021-10-16,60875.57
2021-10-15,61672.42
2021-10-14,57347.94
2021-10-13,57367.0
2021-10-12,55996.93
2021-10-11,57471.35
2021-10-10,54659.0
2021-10-09,54949.72
2021-10-08,53951.43
2021-10-07,53785.22
2021-10-06,55315.0
2021-10-05,51471.99
2021-10-04,49224.94
2021-10-03,48200.01
2021-10-02,47634.9
2021-10-01,48141.61
2021-09-30,43824.1
2021-09-29,41524.28
2021-09-28,41026.54
2021-09-27,42147.35
2021-09-26,43160.9
2021-09-25,42670.64
2021-09-24,42810.57
2021-09-23,44865.26
2021-09-22,43543.61
2021-09-21,40734.38
2021-09-20,43015.62
2021-09-19,47241.75
2021-09-18,48292.74
2021-09-17,47299.98
2021-09-16,47737.82
2021-09-15,48121.41
2021-09-14,47111.52
2021-09-13,44940.73
2021-09-12,46025.24
2021-09-11,45173.69
2021-09-10,44850.91
2021-09-09,46395.14
2021-09-08,46048.31
2021-09-07,46863.73
2021-09-06,52663.9
2021-09-05,51756.88
2021-09-04,49915.64
2021-09-03,49999.14
2021-09-02,49246.64
2021-09-01,48810.52
2021-08-31,47100.89
2021-08-30,46982.91
2021-08-29,48767.83
2021-08-28,48895.35
2021-08-27,49069.9
2021-08-26,46843.87
2021-08-25,48973.32
2021-08-24,47674.01
2021-08-23,49488.85
2021-08-22,49239.22
2021-08-21,48821.87
2021-08-20,49322.47
2021-08-19,46760.62
2021-08-18,44705.29
2021-08-17,44695.95
2021-08-16,45901.29
2021-08-15,46973.82
2021-08-14,47068.51
2021-08-13,47800.0
2021-08-12,44399.0
2021-08-11,45511.0
2021-08-10,45584.99
2021-08-09,46253.4
2021-08-08,43794.37
2021-08-07,44572.54
2021-08-06,42836.87
2021-08-05,40862.46
2021-08-04,39723.18
2021-08-03,38207.05
2021-08-02,39147.82
2021-08-01,39845.44
2021-07-31,41461.83
2021-07-30,42206.37
2021-07-29,40016.48
2021-07-28,40019.56
2021-07-27,39457.87
2021-07-26,37237.6
2021-07-25,35381.02
2021-07-24,34258.14
2021-07-23,33634.09
2021-07-22,32287.83
2021-07-21,32144.51
2021-07-20,29790.35
2021-07-19,30839.65
2021-07-18,31778.56
2021-07-17,31520.07
2021-07-16,31383.87
2021-07-15,31880.0
2021-07-14,32820.02
2021-07-13,32729.77
2021-07-12,33086.63
2021-07-11,34258.99
2021-07-10,33502.87
2021-07-09,33815.81
2021-07-08,32875.71
2021-07-07,33862.12
2021-07-06,34220.01
2021-07-05,33690.14
2021-07-04,35286.51
2021-07-03,34669.13
2021-07-02,33786.55
2021-07-01,33504.69
2021-06-30,35045.0
2021-06-29,35911.73
2021-06-28,34494.89
2021-06-27,34700.34
2021-06-26,32283.65
2021-06-25,31584.45
2021-06-24,34663.09
2021-06-23,33678.07
2021-06-22,32509.56
2021-06-21,31608.93
2021-06-20,35600.16
2021-06-19,35483.72
2021-06-18,35819.84
2021-06-17,38092.97
2021-06-16,38349.01
2021-06-15,40144.04
2021-06-14,40516.29
2021-06-13,39020.57
2021-06-12,35546.11
2021-06-11,37331.98
2021-06-10,36675.72
2021-06-09,37388.05
2021-06-08,33380.81
2021-06-07,33552.79
2021-06-06,35796.31
2021-06-05,35513.2
2021-06-04,36829.0
2021-06-03,39246.79
2021-06-02,37568.68
2021-06-01,36693.09
2021-05-31,37253.81
2021-05-30,35641.27
2021-05-29,34605.15
2021-05-28,35663.49
2021-05-27,38529.98
2021-05-26,39241.91
2021-05-25,38324.72
2021-05-24,38796.29
2021-05-23,34655.25
2021-05-22,37449.73
2021-05-21,37252.01
2021-05-20,40526.64
2021-05-19,36690.09
2021-05-18,42849.78
2021-05-17,43538.04
2021-05-16,46431.5
2021-05-15,46762.99
2021-05-14,49841.45
2021-05-13,49670.97
2021-05-12,49631.32
2021-05-11,56670.02
2021-05-10,55816.14
2021-05-09,58240.84
2021-05-08,58862.05
2021-05-07,57314.75
2021-05-06,56393.68
2021-05-05,57436.11
2021-05-04,53200.01
2021-05-03,57169.39
2021-05-02,56578.21
2021-05-01,57800.37
2021-04-30,57694.27
2021-04-29,53555.0
2021-04-28,54846.22
2021-04-27,55011.97
2021-04-26,54001.39
2021-04-25,49066.77
2021-04-24,50047.84
2021-04-23,51125.14
2021-04-22,51690.96
2021-04-21,53787.63
2021-04-20,56425.0
2021-04-19,55633.14
2021-04-18,56150.01
2021-04-17,60006.66
2021-04-16,61334.8
2021-04-15,63159.98
2021-04-14,62959.53
2021-04-13,63575.0
2021-04-12,59860.0
2021-04-11,60002.43
2021-04-10,59769.13
2021-04-09,58142.54
2021-04-08,58077.52
2021-04-07,55953.45
2021-04-06,57991.15
2021-04-05,59129.99
2021-04-04,58202.01
2021-04-03,57051.94
2021-04-02,58950.01
2021-04-01,58720.44
2021-03-31,58740.55
2021-03-30,58746.57
2021-03-29,57635.47
2021-03-28,55777.63
2021-03-27,55817.14
2021-03-26,55025.59
2021-03-25,51293.78
2021-03-24,52303.65
2021-03-23,54340.89
